調査年,地域,A1801_人口集中地区人口【人】,A1802_人口集中地区面積【ｋｍ2】,C620114_付加価値額（民営）（金融業、保険業）【百万円】
2015年度,北海道 札幌市,"1,899,081",235.5,"273,074"
2015年度,北海道 札幌市 中央区,"235,356",22.97,"207,372"
2015年度,北海道 札幌市 北区,"275,495",35.58,"12,782"
2015年度,北海道 札幌市 東区,"255,507",32.01,"7,356"
2015年度,北海道 札幌市 白石区,"205,645",23.61,"17,053"
2015年度,北海道 札幌市 豊平区,"217,832",21.72,"8,614"
2015年度,北海道 札幌市 南区,"122,354",19.54,"2,885"
2015年度,北海道 札幌市 西区,"211,996",25.05,"6,494"
2015年度,北海道 札幌市 厚別区,"125,771",16.67,"4,720"
2015年度,北海道 札幌市 手稲区,"137,016",21.61,"3,443"
2015年度,北海道 札幌市 清田区,"112,109",16.76,"2,353"
2015年度,北海道 函館市,"229,488",42.38,"29,372"
2015年度,北海道 小樽市,"104,874",23.42,"6,192"
2015年度,北海道 旭川市,"313,661",78.96,"31,480"
2015年度,北海道 室蘭市,"69,665",26.71,"6,618"
2015年度,北海道 釧路市,"156,092",41.14,"23,221"
2015年度,北海道 帯広市,"151,189",41.08,"19,727"
2015年度,北海道 北見市,"80,955",20.17,"10,240"
2015年度,北海道 夕張市,-,-,156
2015年度,北海道 岩見沢市,"48,561",13.18,"3,860"
2015年度,北海道 網走市,"27,267",8.91,"2,524"
2015年度,北海道 留萌市,"17,257",5.64,"1,636"
2015年度,北海道 苫小牧市,"142,348",36.43,"10,824"
2015年度,北海道 稚内市,"29,544",8.42,"2,619"
2015年度,北海道 美唄市,"10,663",3.27,"1,270"
2015年度,北海道 芦別市,"7,136",2.24,517
2015年度,北海道 江別市,"109,372",25.18,"3,328"
2015年度,北海道 赤平市,-,-,482
2015年度,北海道 紋別市,"15,822",5.43,"1,303"
2015年度,北海道 士別市,"11,647",3.59,X
2015年度,北海道 名寄市,"18,879",5.63,"2,096"
2015年度,北海道 三笠市,-,-,161
2015年度,北海道 根室市,"15,511",4.96,"2,129"
2015年度,北海道 千歳市,"80,072",33.02,"3,421"
2015年度,北海道 滝川市,"28,972",10.67,"2,753"
2015年度,北海道 砂川市,"8,905",3.91,571
2015年度,北海道 歌志内市,-,-,68
2015年度,北海道 深川市,"10,508",3.54,X
2015年度,北海道 富良野市,"14,269",3.74,"1,182"
2015年度,北海道 登別市,"37,774",9.5,"1,063"
2015年度,北海道 恵庭市,"63,166",13.92,"1,747"
2015年度,北海道 伊達市,"21,943",4.99,"1,587"
2015年度,北海道 北広島市,"49,510",9.2,"1,871"
2015年度,北海道 石狩市,"43,040",7.03,"1,184"
2015年度,北海道 北斗市,"29,668",6.46,"1,364"
2015年度,北海道 当別町,"5,957",1.68,384
2015年度,北海道 新篠津村,-,-,X
2015年度,北海道 松前町,-,-,242
2015年度,北海道 福島町,-,-,106
2015年度,北海道 知内町,-,-,X
2015年度,北海道 木古内町,-,-,131
2015年度,北海道 七飯町,"13,132",2.86,X
2015年度,北海道 鹿部町,-,-,X
2015年度,北海道 森町,-,-,"2,429"
2015年度,北海道 八雲町,"7,500",2.44,770
2015年度,北海道 長万部町,-,-,187
2015年度,北海道 江差町,-,-,"1,069"
2015年度,北海道 上ノ国町,-,-,115
2015年度,北海道 厚沢部町,-,-,120
2015年度,北海道 乙部町,-,-,93
2015年度,北海道 奥尻町,-,-,X
